id,label
image_0446,suburb
image_0765,insidecity
image_0639,street
image_0906,suburb
image_0154,livingroom
image_0684,forest
image_0695,coast
image_1032,insidecity
image_0668,tallbuilding
image_0546,mountain
image_0256,forest
image_0582,office
image_0211,kitchen
image_0437,forest
image_0923,livingroom
image_1003,bedroom
image_0811,office
image_0438,street
image_0170,mountain
image_0963,bedroom
image_0804,coast
image_0591,street
image_0553,tallbuilding
image_0519,office
image_0656,insidecity
image_0771,livingroom
image_0390,opencountry
image_0044,livingroom
image_0048,street
image_0909,livingroom
image_0404,kitchen
image_0746,livingroom
image_0122,livingroom
image_0344,suburb
image_0867,tallbuilding
image_0757,opencountry
image_0886,office
image_0520,kitchen
image_0146,office
image_0026,forest
image_0425,livingroom
image_0790,suburb
image_0505,kitchen
image_0908,kitchen
image_0828,livingroom
image_0848,kitchen
image_0737,insidecity
image_0741,livingroom
image_0511,office
image_0662,insidecity
image_0299,tallbuilding
image_0697,tallbuilding
image_0913,insidecity
image_0942,mountain
image_1026,suburb
image_0472,highway
image_0384,forest
image_0500,mountain
image_0249,suburb
image_0552,mountain
image_0982,forest
image_0728,forest
image_0381,office
image_0200,suburb
image_0748,opencountry
image_0088,kitchen
image_0754,street
image_0411,opencountry
image_0976,suburb
image_0434,suburb
image_0562,insidecity
image_0825,street
image_0422,coast
image_0507,street
image_0029,forest
image_0195,insidecity
image_0992,opencountry
image_0534,opencountry
image_0565,tallbuilding
image_0927,office
image_0821,highway
image_0946,highway
image_0185,tallbuilding
image_0934,opencountry
image_0439,opencountry
image_0912,kitchen
image_0104,kitchen
image_0400,suburb
image_0526,opencountry
image_0466,kitchen
image_0517,street
image_0817,mountain
image_0967,insidecity
image_0412,highway
image_0563,highway
image_0350,kitchen
image_0541,tallbuilding
image_0544,tallbuilding
image_1009,tallbuilding
image_0796,coast
image_0642,forest
image_0658,office
image_1017,street
image_0832,suburb
image_0364,forest
image_0242,street
image_0884,suburb
image_0171,forest
image_0190,livingroom
image_0355,tallbuilding
image_0679,kitchen
image_0103,tallbuilding
image_0119,opencountry
image_0671,livingroom
image_0385,highway
image_0220,suburb
image_0063,bedroom
image_0916,bedroom
image_0922,mountain
image_0846,tallbuilding
image_1007,highway
image_0087,forest
image_0696,mountain
image_0079,opencountry
image_0201,opencountry
image_0469,mountain
image_0693,coast
image_0397,bedroom
image_0254,livingroom
image_0005,insidecity
image_1010,tallbuilding
image_0829,street
image_0100,highway
image_0359,tallbuilding
image_1015,opencountry
image_0623,tallbuilding
image_0686,bedroom
image_0415,street
image_0155,mountain
image_1000,office
image_0892,office
image_0994,suburb
image_0575,bedroom
image_0416,office
image_0528,kitchen
image_0233,office
image_0362,street
image_0583,bedroom
image_0340,coast
image_0725,opencountry
image_0414,mountain
image_0153,forest
image_0808,bedroom
image_0490,opencountry
image_0039,suburb
image_0883,bedroom
image_0430,forest
image_0624,livingroom
image_0797,coast
image_0940,street
image_0165,highway
image_0593,coast
image_0637,mountain
image_0891,mountain
image_0646,bedroom
image_0990,tallbuilding
image_0076,insidecity
image_0298,highway
image_0879,opencountry
image_0351,tallbuilding
image_0568,forest
image_0272,opencountry
image_0013,street
image_0125,coast
image_0672,insidecity
image_0243,tallbuilding
image_0644,kitchen
image_0739,forest
image_0062,suburb
image_0107,opencountry
image_0599,office
image_0616,bedroom
image_0358,bedroom
image_0947,street
image_0647,insidecity
image_0530,livingroom
image_0160,forest
image_0680,kitchen
image_0730,forest
image_0221,opencountry
image_0844,opencountry
image_0388,opencountry
image_0132,kitchen
image_0666,office
image_0333,insidecity
image_0768,tallbuilding
image_0499,livingroom
image_0840,bedroom
image_0224,opencountry
image_0809,kitchen
image_0431,highway
image_0993,highway
image_0101,coast
image_0419,tallbuilding
image_1036,opencountry
image_0188,street
image_0021,mountain
image_1002,forest
image_0740,opencountry
image_0084,livingroom
image_0901,highway
image_0770,street
image_0456,forest
image_0336,opencountry
image_0285,street
image_0141,tallbuilding
image_0051,office
image_0175,street
image_0929,opencountry
image_0857,bedroom
image_0543,suburb
image_0869,forest
image_0091,street
image_0120,highway
image_0961,coast
image_1038,forest
image_0510,street
image_1022,office
image_0341,livingroom
image_0467,kitchen
image_0789,livingroom
image_0150,opencountry
image_0391,bedroom
image_0605,street
image_0903,office
image_0707,forest
image_0690,forest
image_0540,street
image_0966,office
image_0377,forest
image_0778,mountain
image_0594,forest
image_1008,insidecity
image_0495,opencountry
image_0142,opencountry
image_0780,tallbuilding
image_0223,street
image_0636,opencountry
image_0827,forest
image_0775,street
image_0151,bedroom
image_0833,insidecity
image_0167,bedroom
image_0812,coast
image_1028,insidecity
image_0928,mountain
image_0586,coast
image_0365,street
image_0148,street
image_0607,kitchen
image_0761,mountain
image_0831,livingroom
image_0897,opencountry
image_0597,office
image_0753,highway
image_0396,mountain
image_0095,livingroom
image_0111,forest
image_0281,opencountry
image_0126,forest
image_0721,street
image_0849,insidecity
image_0262,tallbuilding
image_0166,suburb
image_0064,coast
image_0315,suburb
image_0036,street
image_0603,opencountry
image_1019,coast
image_0302,coast
image_0486,insidecity
image_0744,insidecity
image_0330,livingroom
image_0191,mountain
image_0133,insidecity
image_0260,insidecity
image_0555,bedroom
image_0457,suburb
image_0073,livingroom
image_0229,suburb
image_0215,forest
image_0648,livingroom
image_0056,tallbuilding
image_0479,suburb
image_0230,office
image_0813,street
image_0619,coast
image_0777,coast
image_0014,insidecity
image_0406,opencountry
image_0295,opencountry
image_1020,highway
image_0981,opencountry
image_0601,office
image_0675,bedroom
image_0983,livingroom
image_0670,livingroom
image_0389,office
image_0032,livingroom
image_0329,mountain
image_0321,opencountry
image_0429,livingroom
image_0649,insidecity
image_0798,street
image_0368,bedroom
image_0286,office
image_0970,coast
image_0204,highway
image_0316,kitchen
image_1014,bedroom
image_0199,tallbuilding
image_0736,office
image_0121,insidecity
image_0019,insidecity
image_0057,highway
image_1033,tallbuilding
image_0310,tallbuilding
image_0157,highway
image_0731,street
image_0726,forest
image_0378,tallbuilding
image_0687,livingroom
image_0863,forest
image_0300,coast
image_0567,office
image_0303,kitchen
image_0352,mountain
image_0898,coast
image_0278,street
image_0760,office
image_0017,livingroom
image_0245,office
image_0045,street
image_0158,bedroom
image_0751,mountain
image_0497,livingroom
image_0318,livingroom
image_0774,kitchen
image_0106,opencountry
image_0615,suburb
image_0241,coast
image_0124,tallbuilding
image_0312,forest
image_0925,office
image_0246,coast
image_0692,forest
image_0602,highway
image_1012,office
image_0162,highway
image_0585,insidecity
image_0496,mountain
image_0342,suburb
image_0512,opencountry
image_0035,suburb
image_0042,suburb
image_0645,insidecity
image_0542,opencountry
image_1030,kitchen
image_0613,office
image_0676,suburb
image_0969,suburb
image_0610,highway
image_0314,suburb
image_0144,mountain
image_0448,coast
image_0729,opencountry
image_0960,office
image_0890,suburb
image_0137,livingroom
image_0112,livingroom
image_0632,opencountry
image_0178,street
image_0762,highway
image_0633,opencountry
image_0792,livingroom
image_0487,forest
image_0361,office
image_0347,street
image_1021,coast
image_0557,forest
image_1029,forest
image_0222,suburb
image_1018,forest
image_0214,coast
image_0395,coast
image_0080,mountain
image_1037,coast
image_0065,office
image_0964,bedroom
image_1034,suburb
image_0985,kitchen
image_0905,suburb
image_0210,tallbuilding
image_0024,office
image_0614,tallbuilding
image_0488,mountain
image_0734,opencountry
image_0506,street
image_0919,tallbuilding
image_0313,forest
image_0715,livingroom
image_0578,mountain
image_0904,tallbuilding
image_0847,bedroom
image_0689,street
image_0988,highway
image_0750,coast
image_0394,highway
image_0442,livingroom
image_0875,coast
image_0724,kitchen
image_0698,street
image_0956,kitchen
image_0584,kitchen
image_0086,office
image_0305,suburb
image_0283,kitchen
image_0007,forest
image_0297,opencountry
image_0654,kitchen
image_0807,livingroom
image_0217,insidecity
image_0250,suburb
image_0423,bedroom
image_0261,tallbuilding
image_0001,bedroom
image_0309,suburb
image_0634,mountain
image_0276,bedroom
image_0345,livingroom
image_0571,highway
image_0293,office
image_0776,suburb
image_0433,opencountry
image_0608,mountain
image_0926,office
image_0665,coast
image_0581,suburb
image_0861,insidecity
image_0339,street
image_0683,mountain
image_0225,insidecity
image_0459,opencountry
image_0131,suburb
image_0877,livingroom
image_0052,livingroom
image_0876,highway
image_0481,tallbuilding
image_0072,bedroom
image_0720,highway
image_0253,livingroom
image_0855,bedroom
image_0978,forest
image_0991,coast
image_0114,highway
image_0502,street
image_0660,livingroom
image_0203,tallbuilding
